Compound,Date,Negative,Neutral,Positive,Screen Name,Tweets Ago
0.7783,Wed Dec 13 03:48:10 +0000 2017,0.0,0.57,0.43,@bbcnews,1
-0.4215,Wed Dec 13 03:48:04 +0000 2017,0.237,0.763,0.0,@bbcnews,2
-0.4215,Wed Dec 13 03:47:49 +0000 2017,0.237,0.763,0.0,@bbcnews,3
0.0,Wed Dec 13 03:47:48 +0000 2017,0.0,1.0,0.0,@bbcnews,4
0.0,Wed Dec 13 03:47:19 +0000 2017,0.0,1.0,0.0,@bbcnews,5
0.0,Wed Dec 13 03:47:11 +0000 2017,0.0,1.0,0.0,@bbcnews,6
0.0,Wed Dec 13 03:46:42 +0000 2017,0.0,1.0,0.0,@bbcnews,7
0.0,Wed Dec 13 03:46:40 +0000 2017,0.0,1.0,0.0,@bbcnews,8
-0.4215,Wed Dec 13 03:46:33 +0000 2017,0.237,0.763,0.0,@bbcnews,9
0.5106,Wed Dec 13 03:45:11 +0000 2017,0.0,0.732,0.268,@bbcnews,10
0.7269,Wed Dec 13 03:44:22 +0000 2017,0.119,0.614,0.267,@bbcnews,11
-0.296,Wed Dec 13 03:43:35 +0000 2017,0.196,0.804,0.0,@bbcnews,12
0.7723,Wed Dec 13 03:43:27 +0000 2017,0.0,0.678,0.322,@bbcnews,13
0.0,Wed Dec 13 03:42:48 +0000 2017,0.0,1.0,0.0,@bbcnews,14
0.8176,Wed Dec 13 03:42:43 +0000 2017,0.105,0.526,0.368,@bbcnews,15
-0.8588,Wed Dec 13 03:42:33 +0000 2017,0.487,0.513,0.0,@bbcnews,16
-0.7096,Wed Dec 13 03:40:34 +0000 2017,0.228,0.772,0.0,@bbcnews,17
0.5106,Wed Dec 13 03:40:28 +0000 2017,0.0,0.732,0.268,@bbcnews,18
0.0,Wed Dec 13 03:40:25 +0000 2017,0.0,1.0,0.0,@bbcnews,19
-0.6739,Wed Dec 13 03:40:07 +0000 2017,0.211,0.789,0.0,@bbcnews,20
0.34,Wed Dec 13 03:39:55 +0000 2017,0.081,0.756,0.163,@bbcnews,21
0.5106,Wed Dec 13 03:38:37 +0000 2017,0.0,0.732,0.268,@bbcnews,22
0.5106,Wed Dec 13 03:38:35 +0000 2017,0.0,0.732,0.268,@bbcnews,23
0.5106,Wed Dec 13 03:38:30 +0000 2017,0.0,0.732,0.268,@bbcnews,24
0.5106,Wed Dec 13 03:38:27 +0000 2017,0.0,0.732,0.268,@bbcnews,25
0.5106,Wed Dec 13 03:38:24 +0000 2017,0.0,0.732,0.268,@bbcnews,26
0.5106,Wed Dec 13 03:38:20 +0000 2017,0.0,0.732,0.268,@bbcnews,27
0.5106,Wed Dec 13 03:38:17 +0000 2017,0.0,0.732,0.268,@bbcnews,28
0.5106,Wed Dec 13 03:38:10 +0000 2017,0.0,0.732,0.268,@bbcnews,29
-0.2263,Wed Dec 13 03:38:09 +0000 2017,0.255,0.552,0.193,@bbcnews,30
0.5106,Wed Dec 13 03:38:07 +0000 2017,0.0,0.732,0.268,@bbcnews,31
-0.4215,Wed Dec 13 03:38:05 +0000 2017,0.237,0.763,0.0,@bbcnews,32
0.5106,Wed Dec 13 03:38:03 +0000 2017,0.0,0.732,0.268,@bbcnews,33
0.5106,Wed Dec 13 03:37:58 +0000 2017,0.0,0.732,0.268,@bbcnews,34
0.5106,Wed Dec 13 03:37:58 +0000 2017,0.0,0.732,0.268,@bbcnews,35
0.5106,Wed Dec 13 03:37:57 +0000 2017,0.0,0.732,0.268,@bbcnews,36
0.5106,Wed Dec 13 03:37:56 +0000 2017,0.0,0.732,0.268,@bbcnews,37
0.5106,Wed Dec 13 03:37:55 +0000 2017,0.0,0.732,0.268,@bbcnews,38
0.5106,Wed Dec 13 03:37:49 +0000 2017,0.0,0.732,0.268,@bbcnews,39
0.5106,Wed Dec 13 03:37:49 +0000 2017,0.0,0.732,0.268,@bbcnews,40
0.5106,Wed Dec 13 03:37:49 +0000 2017,0.0,0.732,0.268,@bbcnews,41
0.5106,Wed Dec 13 03:37:44 +0000 2017,0.0,0.732,0.268,@bbcnews,42
0.5106,Wed Dec 13 03:37:06 +0000 2017,0.0,0.752,0.248,@bbcnews,43
0.2462,Wed Dec 13 03:36:43 +0000 2017,0.15,0.651,0.199,@bbcnews,44
-0.4215,Wed Dec 13 03:36:16 +0000 2017,0.237,0.763,0.0,@bbcnews,45
0.0,Wed Dec 13 03:35:55 +0000 2017,0.0,1.0,0.0,@bbcnews,46
-0.4215,Wed Dec 13 03:35:54 +0000 2017,0.237,0.763,0.0,@bbcnews,47
0.5106,Wed Dec 13 03:35:48 +0000 2017,0.0,0.732,0.268,@bbcnews,48
0.5574,Wed Dec 13 03:35:31 +0000 2017,0.0,0.735,0.265,@bbcnews,49
-0.0857,Wed Dec 13 03:34:00 +0000 2017,0.055,0.945,0.0,@bbcnews,50
0.0,Wed Dec 13 03:33:33 +0000 2017,0.0,1.0,0.0,@bbcnews,51
0.5106,Wed Dec 13 03:33:02 +0000 2017,0.0,0.732,0.268,@bbcnews,52
0.0,Wed Dec 13 03:32:50 +0000 2017,0.0,1.0,0.0,@bbcnews,53
0.0,Wed Dec 13 03:32:39 +0000 2017,0.0,1.0,0.0,@bbcnews,54
0.626,Wed Dec 13 03:31:50 +0000 2017,0.152,0.482,0.366,@bbcnews,55
-0.2263,Wed Dec 13 03:31:21 +0000 2017,0.255,0.552,0.193,@bbcnews,56
-0.4215,Wed Dec 13 03:31:17 +0000 2017,0.237,0.763,0.0,@bbcnews,57
0.2732,Wed Dec 13 03:30:51 +0000 2017,0.0,0.896,0.104,@bbcnews,58
-0.1531,Wed Dec 13 03:30:46 +0000 2017,0.113,0.806,0.081,@bbcnews,59
-0.4767,Wed Dec 13 03:30:45 +0000 2017,0.383,0.617,0.0,@bbcnews,60
-0.2263,Wed Dec 13 03:28:53 +0000 2017,0.255,0.552,0.193,@bbcnews,61
0.0,Wed Dec 13 03:28:49 +0000 2017,0.0,1.0,0.0,@bbcnews,62
0.7351,Wed Dec 13 03:28:40 +0000 2017,0.0,0.744,0.256,@bbcnews,63
0.0,Wed Dec 13 03:28:33 +0000 2017,0.0,1.0,0.0,@bbcnews,64
0.3182,Wed Dec 13 03:27:58 +0000 2017,0.0,0.635,0.365,@bbcnews,65
-0.4215,Wed Dec 13 03:27:22 +0000 2017,0.237,0.763,0.0,@bbcnews,66
0.2263,Wed Dec 13 03:27:15 +0000 2017,0.112,0.726,0.162,@bbcnews,67
-0.4019,Wed Dec 13 03:24:55 +0000 2017,0.153,0.847,0.0,@bbcnews,68
-0.2263,Wed Dec 13 03:23:31 +0000 2017,0.255,0.552,0.193,@bbcnews,69
-0.4215,Wed Dec 13 03:23:26 +0000 2017,0.237,0.763,0.0,@bbcnews,70
-0.2263,Wed Dec 13 03:23:26 +0000 2017,0.255,0.552,0.193,@bbcnews,71
-0.2263,Wed Dec 13 03:23:25 +0000 2017,0.255,0.552,0.193,@bbcnews,72
-0.2263,Wed Dec 13 03:23:21 +0000 2017,0.255,0.552,0.193,@bbcnews,73
-0.4215,Wed Dec 13 03:23:20 +0000 2017,0.237,0.763,0.0,@bbcnews,74
-0.4215,Wed Dec 13 03:23:18 +0000 2017,0.237,0.763,0.0,@bbcnews,75
-0.2263,Wed Dec 13 03:23:18 +0000 2017,0.255,0.552,0.193,@bbcnews,76
-0.4215,Wed Dec 13 03:23:17 +0000 2017,0.237,0.763,0.0,@bbcnews,77
-0.2263,Wed Dec 13 03:23:16 +0000 2017,0.255,0.552,0.193,@bbcnews,78
-0.2263,Wed Dec 13 03:23:14 +0000 2017,0.255,0.552,0.193,@bbcnews,79
-0.4215,Wed Dec 13 03:23:12 +0000 2017,0.237,0.763,0.0,@bbcnews,80
-0.4215,Wed Dec 13 03:23:12 +0000 2017,0.237,0.763,0.0,@bbcnews,81
-0.2263,Wed Dec 13 03:23:09 +0000 2017,0.255,0.552,0.193,@bbcnews,82
-0.2263,Wed Dec 13 03:23:08 +0000 2017,0.255,0.552,0.193,@bbcnews,83
-0.2263,Wed Dec 13 03:23:07 +0000 2017,0.255,0.552,0.193,@bbcnews,84
-0.2263,Wed Dec 13 03:23:05 +0000 2017,0.255,0.552,0.193,@bbcnews,85
-0.2263,Wed Dec 13 03:23:05 +0000 2017,0.255,0.552,0.193,@bbcnews,86
0.0,Wed Dec 13 03:22:49 +0000 2017,0.0,1.0,0.0,@bbcnews,87
-0.2263,Wed Dec 13 03:22:43 +0000 2017,0.255,0.552,0.193,@bbcnews,88
-0.4215,Wed Dec 13 03:21:12 +0000 2017,0.237,0.763,0.0,@bbcnews,89
0.0,Wed Dec 13 03:21:09 +0000 2017,0.0,1.0,0.0,@bbcnews,90
-0.2263,Wed Dec 13 03:20:35 +0000 2017,0.255,0.552,0.193,@bbcnews,91
-0.4215,Wed Dec 13 03:20:35 +0000 2017,0.237,0.763,0.0,@bbcnews,92
-0.4215,Wed Dec 13 03:20:29 +0000 2017,0.237,0.763,0.0,@bbcnews,93
-0.4215,Wed Dec 13 03:20:18 +0000 2017,0.237,0.763,0.0,@bbcnews,94
-0.4215,Wed Dec 13 03:19:44 +0000 2017,0.237,0.763,0.0,@bbcnews,95
-0.4215,Wed Dec 13 03:19:16 +0000 2017,0.237,0.763,0.0,@bbcnews,96
-0.4215,Wed Dec 13 03:19:01 +0000 2017,0.237,0.763,0.0,@bbcnews,97
-0.4215,Wed Dec 13 03:18:58 +0000 2017,0.237,0.763,0.0,@bbcnews,98
-0.4215,Wed Dec 13 03:18:52 +0000 2017,0.237,0.763,0.0,@bbcnews,99
0.4738,Wed Dec 13 03:48:47 +0000 2017,0.0,0.872,0.128,@cbsnews,100
-0.6239,Wed Dec 13 03:48:45 +0000 2017,0.338,0.662,0.0,@cbsnews,1
-0.4005,Wed Dec 13 03:48:41 +0000 2017,0.124,0.876,0.0,@cbsnews,2
0.0,Wed Dec 13 03:48:41 +0000 2017,0.0,1.0,0.0,@cbsnews,3
0.0,Wed Dec 13 03:48:38 +0000 2017,0.0,1.0,0.0,@cbsnews,4
0.0,Wed Dec 13 03:48:33 +0000 2017,0.0,1.0,0.0,@cbsnews,5
0.0,Wed Dec 13 03:48:33 +0000 2017,0.0,1.0,0.0,@cbsnews,6
0.25,Wed Dec 13 03:48:29 +0000 2017,0.156,0.596,0.248,@cbsnews,7
0.0,Wed Dec 13 03:48:28 +0000 2017,0.0,1.0,0.0,@cbsnews,8
-0.8271,Wed Dec 13 03:48:28 +0000 2017,0.259,0.741,0.0,@cbsnews,9
0.4019,Wed Dec 13 03:48:26 +0000 2017,0.0,0.876,0.124,@cbsnews,10
-0.3818,Wed Dec 13 03:48:25 +0000 2017,0.133,0.867,0.0,@cbsnews,11
0.0,Wed Dec 13 03:48:21 +0000 2017,0.0,1.0,0.0,@cbsnews,12
-0.6597,Wed Dec 13 03:48:20 +0000 2017,0.231,0.769,0.0,@cbsnews,13
0.0,Wed Dec 13 03:48:19 +0000 2017,0.0,1.0,0.0,@cbsnews,14
0.4019,Wed Dec 13 03:48:16 +0000 2017,0.0,0.876,0.124,@cbsnews,15
0.1027,Wed Dec 13 03:48:16 +0000 2017,0.1,0.783,0.117,@cbsnews,16
0.4877,Wed Dec 13 03:48:12 +0000 2017,0.0,0.843,0.157,@cbsnews,17
0.4019,Wed Dec 13 03:48:10 +0000 2017,0.0,0.881,0.119,@cbsnews,18
-0.8442,Wed Dec 13 03:48:08 +0000 2017,0.431,0.569,0.0,@cbsnews,19
-0.4707,Wed Dec 13 03:48:08 +0000 2017,0.231,0.657,0.112,@cbsnews,20
0.0,Wed Dec 13 03:48:07 +0000 2017,0.0,1.0,0.0,@cbsnews,21
0.0,Wed Dec 13 03:48:03 +0000 2017,0.0,1.0,0.0,@cbsnews,22
0.9201,Wed Dec 13 03:48:03 +0000 2017,0.0,0.592,0.408,@cbsnews,23
-0.4215,Wed Dec 13 03:48:02 +0000 2017,0.318,0.682,0.0,@cbsnews,24
0.4019,Wed Dec 13 03:48:02 +0000 2017,0.0,0.876,0.124,@cbsnews,25
0.0,Wed Dec 13 03:48:01 +0000 2017,0.0,1.0,0.0,@cbsnews,26
